RECTYPE,URN,PCODE,TELNUM,TKS1EXP_L,PKS1EXP_L,TKS1EXP_M,PKS1EXP_M,TKS1EXP_H,PKS1EXP_H,TFSMCLA,PTFSMCLA,PT2MATH12,PT2READ12,PT2WRITTA12,TAPS,AVGLEVEL,PT2MATH12_B,PT2MATH12_G,PT2MATH12_L,PT2MATH12_M,PT2MATH12_H,PTREADX,PTREADAT,GAPN_3YR_RWMX_FSMCLA,GAPN_2YR_PRREAD_NOTFSMCLA,GAPN_2YR_PRWRIT_NOTFSMCLA,GAPN_3YR_PRMAT_NOTFSMCLA
1,100168,SE7 7EZ,020 88582262,4,13%,20,65%,7,23%,6,19%,94%,100%,100%,30.4,5C,100%,88%,SUPP,95%,86%,100%,0%,36,10,8,9
1,100140,SE18 3HW,020 88541308,18,33%,33,60%,4,7%,31,52%,87%,89%,100%,27.1,4B,89%,85%,72%,94%,SUPP,77%,0%,0,3,8,2
1,100151,SE18 2NP,020 88544785,4,15%,15,56%,8,30%,12,43%,78%,89%,85%,27.8,4B,76%,80%,SUPP,73%,100%,79%,0%,18,7,-4,6
1,100174,SE10 9RB,020 88583613,6,30%,9,45%,5,25%,15,75%,100%,85%,95%,28.2,4A,100%,100%,100%,100%,SUPP,85%,0%,6,0,8,12
1,100169,SE10 9AN,020 88584182,6,24%,14,56%,5,20%,20,77%,96%,100%,100%,29.7,4A,94%,100%,100%,93%,SUPP,92%,0%,12,10,8,9
1,100180,SE28 8GB,020 83101699,2,7%,20,74%,5,19%,8,28%,96%,96%,100%,29.8,4A,100%,92%,SUPP,95%,SUPP,100%,0%,22,3,8,-1
1,100170,SE18 7RL,020 88543924,8,25%,12,38%,12,38%,15,45%,81%,91%,97%,28.9,4A,85%,75%,88%,83%,75%,85%,0%,2,3,4,-5
1,100171,SE18 5PW,020 88543531,1,3%,17,59%,11,38%,9,31%,90%,93%,97%,31.3,5C,87%,93%,SUPP,88%,100%,97%,0%,19,7,8,4
1,100172,SE9 1UF,020 88507835,6,10%,35,58%,19,32%,4,7%,90%,92%,100%,29.7,4A,87%,95%,83%,91%,89%,90%,0%,1,5,7,3
1,100173,SE18 7QG,020 88543881,16,32%,30,60%,4,8%,20,38%,98%,96%,98%,29.8,4A,97%,100%,94%,100%,SUPP,94%,0%,25,6,6,10
1,100175,SE18 7BN,020 82650028,4,14%,19,66%,6,21%,12,41%,100%,100%,97%,31.9,5C,100%,100%,SUPP,100%,100%,97%,0%,12,10,5,12
1,100177,SE2 9LY,020 83105394,2,7%,28,93%,0,0%,15,50%,100%,100%,100%,30.8,5C,100%,100%,SUPP,100%,SUPP,100%,0%,18,10,8,2
1,100176,SE9 6NS,020 88569153,6,21%,13,46%,9,32%,7,25%,100%,89%,93%,29.1,4A,100%,100%,100%,100%,100%,86%,0%,9,5,6,3
1,100141,SE7 7JP,020 88585497,7,17%,31,74%,4,10%,18,38%,100%,100%,100%,30.4,5C,100%,100%,100%,100%,SUPP,96%,0%,26,8,6,11
1,131183,SE18 7PX,020 88551050,14,25%,37,67%,4,7%,35,55%,100%,100%,100%,30.2,5C,100%,100%,100%,100%,SUPP,94%,0%,3,6,4,5
1,100142,SE7 8AE,020 88580268,7,28%,15,60%,3,12%,12,48%,84%,84%,88%,27.6,4B,SUPP,85%,71%,87%,SUPP,76%,0%,-4,2,0,-5
1,130922,SE18 2SG,020 88546915,8,19%,28,67%,6,14%,17,40%,93%,86%,95%,28,4A,94%,92%,88%,93%,100%,86%,0%,10,-1,1,0
1,100157,SE28 8AR,020 83100157,5,19%,16,59%,6,22%,14,48%,96%,100%,100%,31.9,5C,90%,100%,SUPP,94%,100%,100%,0%,33,10,8,10
1,100154,SE3 9XU,020 88565298,3,14%,12,57%,6,29%,11,52%,95%,76%,100%,29,4A,100%,90%,SUPP,100%,100%,86%,0%,13,-10,8,2
1,100145,SE18 5JE,020 88545055,8,23%,24,69%,3,9%,28,80%,100%,86%,91%,29.8,4A,100%,100%,100%,100%,SUPP,71%,0%,1,10,-2,6
1,100146,SE9 2EH,020 88504933,8,16%,30,61%,11,22%,17,33%,96%,94%,96%,30.1,5C,97%,94%,75%,100%,100%,96%,2%,-3,9,8,7
2,133401,SE18 7NB,020 83177659,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
2,133399,SE18 2JD,020 88549841,28,100%,0,0%,0,0%,23,70%,3%,3%,12%,12.7,2,4%,0%,4%,SUPP,SUPP,0%,0%,-59,-85,-87,-88
3,,,,478,20%,1423,60%,456,19%,1176,47%,92%,91%,95%,29.2,4A,92%,92%,82%,95%,96%,89%,,11,4,4,5
1,100255,E5 8DN,020 89856176,2,7%,22,81%,3,11%,16,55%,96%,74%,89%,26.6,4B,100%,92%,SUPP,95%,SUPP,66%,0%,3,-4,1,-1
1,100260,N16 7AU,020 89859310,7,16%,21,49%,15,35%,24,55%,91%,86%,88%,28.2,4A,94%,89%,71%,95%,93%,77%,0%,-1,-4,-1,3
1,100218,E9 6HB,020 89856280,18,32%,33,59%,5,9%,45,76%,93%,88%,98%,27.3,4B,94%,92%,89%,100%,SUPP,76%,2%,5,-10,5,-7
1,131706,N16 9EX,020 72497111,6,11%,39,70%,11,20%,17,30%,89%,91%,95%,29.8,4A,82%,96%,67%,90%,100%,91%,0%,-10,4,3,3
1,134961,E8 1AS,020 72544090,14,25%,39,70%,3,5%,39,65%,88%,84%,96%,27,4B,85%,90%,79%,90%,SUPP,82%,2%,10,-12,8,0
1,131141,N1 5JD,020 77398591,12,43%,11,39%,5,18%,21,68%,96%,93%,100%,28,4A,100%,92%,92%,100%,SUPP,84%,0%,1,6,4,-10
1,100221,E8 2LG,020 72541143,8,31%,16,62%,2,8%,20,77%,88%,85%,88%,27.1,4B,93%,82%,75%,94%,SUPP,85%,0%,3,-1,3,8
